#{"t_start": 1659349931.257941, "env_id": null}
r,l,t
-22.2,23,0.439835
-21.0,11,0.626338
-23.3,34,1.205158
-23.1,32,1.75054
-36.0,161,4.49437
-21.7,18,4.800197
-21.4,15,5.055246
-23.2,33,5.616941
-21.6,17,5.905289
-23.8,39,6.56885
-25.3,54,7.488782
-35.8,159,10.194334
-30.0,101,11.913807
-22.8,29,12.406404
-28.8,89,13.921629
-40.2,203,17.377517
-5.6,6,17.479674
-25.0,51,18.345076
-29.0,192,21.614086
-28.4,85,23.060473
-21.2,114,24.998879
-17.7,79,26.345488
-23.9,40,27.026044
-39.5,196,30.360196
-33.4,236,34.366579
-21.6,118,36.706595
-22.1,123,38.803103
-22.6,27,39.261763
-18.6,88,40.762233
-21.5,16,41.034314
-26.3,64,42.125209
-33.6,238,46.177937
-22.6,27,46.636133
-27.4,75,47.911944
-30.0,202,51.348949
-25.8,59,52.353803
-26.2,164,55.143065
-13.8,40,55.825023
-23.5,137,58.156025
-29.6,97,59.806941
-32.2,123,61.902612
-15.5,57,62.871943
-33.4,135,65.171769
-25.5,56,66.127435
-15.8,60,67.148353
-18.7,89,68.661413
-22.2,23,69.052411
-26.4,65,70.469585
-12.2,24,70.877203
-21.4,116,72.85155
-34.5,247,77.055016
-31.7,219,80.782059
-27.0,172,83.708323
-16.5,67,84.84876
-13.7,39,85.513763
-20.7,109,87.369644
-29.4,196,90.706424
-13.9,41,91.405395
-30.0,101,93.125081
-13.4,36,93.738813
-27.9,181,96.820806
-22.6,128,98.99964
-14.9,51,99.868537
-35.2,153,102.471355
-32.8,230,106.693297
-28.1,82,108.091918
-26.6,67,109.232142
-20.6,108,111.075163
-14.3,45,111.839318
-22.1,22,112.212809
-19.5,97,113.862281
-34.4,145,116.327682
-12.7,29,116.82185
-21.0,11,117.008344
-36.5,166,119.835232
-12.0,22,120.210068
-29.3,195,123.53006
-34.6,147,126.031145
-25.0,51,126.900684
-40.3,305,132.089988
-23.5,137,134.420404
-15.2,54,135.342006
-15.5,57,136.314156
-17.0,72,137.540585
-12.2,24,137.949095
-22.7,129,140.144585
-22.0,21,140.811348
-17.1,73,142.052303
-21.9,121,144.111466
-18.6,88,145.608918
-32.2,224,149.42083
-30.4,206,152.927326
-12.1,23,153.318634
-27.1,173,156.26524
-13.8,40,156.94536
-25.5,157,159.616684
-13.5,37,160.246343
-16.1,63,161.318767
-19.2,94,162.918232
-31.5,217,166.610142
-22.9,131,168.841975
-25.5,157,171.516179
-20.3,105,173.304881
-20.6,108,175.145
-18.3,85,176.902039
-40.6,308,182.148071
-56.5,467,190.098845
-56.9,471,198.100253
-29.4,196,201.42504
-15.1,53,202.324697
-20.6,108,204.155572
-49.3,395,211.191455
-27.9,181,214.268012
-22.1,123,216.367472
-38.6,288,221.266087
-20.7,109,223.124538
-50.0,402,229.9775
-48.5,387,236.568173
-65.2,554,246.308453
-29.8,200,249.711158
-12.2,24,250.122877
-43.7,339,255.896062
-50.0,402,262.736926
-16.1,63,263.81068
-20.6,108,265.646606
-16.0,62,266.701026
-14.2,44,267.450148
-27.2,174,270.410188
-62.5,527,279.377089
-20.1,103,281.439472
-4.0,43,282.17245
-12.3,25,282.597731
-53.3,435,289.997862
-26.3,165,292.805706
-35.0,252,297.094092
-11.9,21,297.451448
-19.3,95,299.069444
-12.0,22,299.443349
-13.6,38,300.088608
-13.5,37,300.717827
-13.4,36,301.330691
-12.3,25,301.754826
-16.9,71,302.963887
-13.4,36,303.577696
-12.2,24,303.985557
-14.1,43,304.718699
-59.2,494,313.125593
-19.3,95,314.745453
-12.1,23,315.139055
-16.6,68,316.605363
-12.0,22,316.978562
-14.9,51,317.8473
-12.3,25,318.27198
-97.9,881,333.273105
-13.0,32,333.821809
-21.5,16,334.093064
-71.8,620,344.647274
-49.9,401,351.774689
-12.1,23,352.168312
-48.2,384,358.705873
-51.0,311,363.99627
-16.0,62,365.053404
-18.2,84,366.482879
-39.4,296,371.517809
-31.5,217,375.210896
-14.0,42,375.924007
-13.5,37,376.554819
-33.1,233,380.517336
-45.8,360,386.952369
-33.2,234,390.933785
-22.3,125,393.059996
-12.3,25,393.485364
-56.9,471,401.500678
-11.9,21,401.858075
-39.6,298,406.930599
-12.0,22,407.304491
-17.3,75,408.580451
-82.7,729,420.989609
-24.6,47,422.096981
-107.3,975,438.689558
-11.4,64,439.779347
-30.6,208,443.317837
-59.2,494,451.723265
-13.0,32,452.267741
-24.0,142,454.686184
-17.9,81,456.067177
-101.0,1061,474.433328
-113.7,1039,492.413994
-6.0,10,492.583896
-80.3,705,504.576129
-11.9,21,504.934026
-99.5,1046,523.146898
-13.6,38,523.83251
-11.9,21,524.210195
-16.4,66,525.399509
-12.7,29,525.923202
-21.6,118,528.35408
-75.3,655,539.965374
-32.2,224,543.778749
-100.3,1054,561.720894
-20.8,110,563.915017
-107.0,1121,583.001087
-102.4,926,599.077421
-99.4,1045,616.868838
-110.1,1003,634.271825
-38.2,284,639.103942
-12.2,24,639.512059
-65.7,559,649.021894
-99.1,1042,666.757236
-13.6,38,667.403664
-19.9,101,669.430629
-11.9,21,669.787842
-13.9,41,670.486836
-12.8,30,670.997278
-99.9,1050,688.869606
-100.4,906,704.602293
-98.9,1040,722.299922
-12.2,24,722.707301
-108.5,987,739.818422
-10.4,54,740.736333
-102.2,1073,759.004674
-101.6,918,774.932151
-11.8,20,775.272553
-12.1,23,775.664505
-12.5,27,776.123446
-12.1,23,776.514446
-12.0,22,776.887913
-100.5,1056,794.873871
-34.9,251,799.146745
